property_id,property_name,hectares,centroid_lat,centroid_lon,postcode,distance_from_albury_km,address,source_PROP_PFI,source_PR_LGAC,source_PR_PROPNUM,source_PR_PTYPE,source_PR_MULTASS,source_PR_STAT,source_PR_PFI_CR,source_PROP_UFI,source_PR_UFI_CR,source_PR_UFI_OLD,source_PR_TASKID,source_PROPV_PFI,source_PV_BASEPFI,source_PV_CNT_PFI,source_PV_GRTYPE,source_PV_ZLEVEL,source_PV_PFI_CR,source_PROPV_UFI,source_PV_UFI_CR,source_PV_UFI_OLD,source_PV_TASKID,enrichment_source,enrichment_confidence,enrichment_notes
45224677,jarvis,2531.09,-36.13776,147.210033,,27.63,JARVIS CREEK ROAD JARVIS CREEK 3700,45224677,367,320069,O,N,A,,370100921,2008-10-30,,,535089,,129470653,P,G,,603390989,2021-01-28,586238489.0,,ABR (score=100 ABN=81797048381),High,
45330464,Leneva Pastoral,2370.35,-36.23029,146.900188,,17.42,RIDGE LANE LENEVA 3691,45330464,374,320278,O,N,A,,369676144,2008-09-12,,,1981686,,127531405,P,G,,869942883,2025-07-07,868367452.0,,ABR (score=92 ABN=86810304285),High,
45223885,TALLANDOON DAIRY,2223.62,-36.375681,147.17555,,40.96,ESKDALE SPUR ROAD TALLANDOON 3701,45223885,367,NCPR,O,N,A,,534040479,2017-06-19,96856462.0,154494.0,4128268,,127554976,P,G,,869966649,2025-07-07,415867360.0,154494.0,ABR (score=90 ABN=11947152871),High,
45223886,,2083.23,-36.362783,147.236035,,43.24,POWERLINE ROAD TALLANGATTA SOUTH 3701,45223886,367,NCPR,O,N,A,,534040295,2017-06-19,96856464.0,154494.0,533721,,127555198,P,G,,415870823,2013-10-21,379506955.0,154494.0,none,None,
45093309,BEECHWORTH INC,1926.68,-36.250367,146.670256,,29.38,OLD COACH ROAD BEECHWORTH 3747,45093309,334,,O,N,A,,96495962,1997-05-06,,,3870442,,127534855,P,G,,580676165,2019-10-02,414388991.0,,ABR (score=93 ABN=33138001347),High,
45223889,,1881.4,-36.331384,147.191651,,37.99,LOCKHARTS GAP ROAD TALLANGATTA SOUTH 3701,45223889,367,319945,O,N,A,,364578990,2007-08-15,,,4206771,,128560874,P,G,,570790853,2019-04-05,415869168.0,,none,None,
45093718,BEECHWORTH INC,1796.69,-36.295057,146.585492,,38.39,KANGAROO TRACK BEECHWORTH 3747,45093718,334,,O,N,A,,384711024,2012-11-16,76372103.0,,414710,,127533465,P,G,,415857034,2013-10-21,384692037.0,,ABR (score=93 ABN=33138001347),High,
52592408,EL DORADO CLOTHING PTY. LTD.,1656.55,-36.336908,146.585659,,41.5,NIEOFFS ROAD ELDORADO 3746,52592408,368,NCPR,O,N,A,,537214599,2017-08-18,485073870.0,1004.0,4213183,,128700374,P,G,,682404045,2022-07-18,537144974.0,1004.0,ABR (score=69 ABN=98113541987),Medium,
45223552,,1569.87,-36.272019,147.188478,,33.11,LOCKHARTS GAP TRACK TALLANGATTA SOUTH 3701,45223552,367,NCPR,O,N,A,,534039543,2017-06-19,96855767.0,154494.0,533357,,127555144,P,G,,570790848,2019-04-05,415855409.0,154494.0,none,None,
52574576,,1524.33,-36.359714,146.791946,,33.57,LONG TOM TRACK STANLEY 3747,52574576,334,,O,N,A,,362943603,2007-05-25,,,4183217,,128729471,P,G,,701620333,2022-11-25,606981822.0,,none,None,
45166234,INDIGO VALLEY EQUINE,1492.83,-36.238371,146.742341,,23.9,ROCKY TRACK INDIGO VALLEY 3688,45166234,334,,O,N,A,,96843027,2000-08-17,,,4138270,,127536943,P,G,,858494585,2024-10-30,820478100.0,,ABR (score=91 ABN=71922122191),High,
45335091,KIEWA BLOOMS,1426.1,-36.288441,146.996527,,24.97,BARTELS NORTH TRACK KIEWA 3691,45335091,334,,O,N,A,,96903678,2000-08-17,,,816442,,127538277,P,G,,594238689,2020-07-22,415858320.0,,ABR (score=83 ABN=36338784242),High,
45044177,ORANGE GROVE MUDGEGONGA,1365.74,-36.475621,146.902714,,44.61,BUTTERWORTHS LANE MUDGEGONGA 3737,45044177,300,NCPR,O,N,A,,869531530,2025-06-30,74391717.0,471610.0,4095394,,126819785,P,G,,415880492,2013-10-21,375468894.0,471610.0,ABR (score=84 ABN=52120545716),High,
45228261,KOETONG SOAPS,1362.1,-36.214948,147.434967,,49.48,TOZIERS TRACK KOETONG 3704,45228261,367,320082,O,N,A,,370183091,2008-11-13,,,539843,,128566580,P,G,,415851548,2013-10-21,367302626.0,,ABR (score=88 ABN=94996337669),High,
52598411,Gapsted Nuts,1327.56,-36.471425,146.731319,,47.07,MYRTLEFORD-STANLEY ROAD GAPSTED 3737,52598411,300,NCPR,O,N,A,,869531241,2025-06-30,79030054.0,471610.0,4225454,,126821031,P,G,,415880156,2013-10-21,362300257.0,471610.0,ABR (score=89 ABN=84875718921),High,
45335272,Glen,1269.15,-36.404132,146.937055,,36.73,BASIN TRACK GLEN CREEK 3691,45335272,300,,O,N,A,,486813061,2014-09-26,369676139.0,1004.0,816623,,127538289,P,G,,874553790,2025-10-13,855462914.0,1004.0,ABR (score=100 ABN=47181144726),High,
45043965,ORANGE GROVE MUDGEGONGA,1207.14,-36.473292,146.782675,,45.87,WAGON TRACK MUDGEGONGA 3737,45043965,300,NCPR,O,N,A,,869531052,2025-06-30,96816310.0,471610.0,416594,,128740035,P,G,,567737731,2019-02-04,415880675.0,471610.0,ABR (score=84 ABN=52120545716),High,
45224115,Talgarno Estate,1189.59,-36.101658,147.182018,,24.38,168 GEORGES CREEK ROAD TALGARNO 3691,45224115,367,225250,O,N,A,,203748991,2003-04-06,,,534505,,101583372,P,G,,603390978,2021-01-28,491798898.0,,ABR (score=88 ABN=14500379029),High,
45164179,CHILTERN BAKERY,1100.61,-36.161798,146.643745,,26.18,166 LANCASHIRE GAP ROAD CHILTERN 3683,45164179,334,3597,O,N,A,,204501280,2003-05-29,,,4096663,,101593617,P,G,,842379180,2024-04-21,674612182.0,,ABR (score=88 ABN=74013182621),High,
45164402,CHILTERN BAKERY,1086.97,-36.216521,146.57115,,34.65,WATERTRUST ROAD CHILTERN 3683,45164402,334,3720,O,N,A,,202053475,2002-12-19,,,429181,,127535359,P,G,,415853012,2013-10-21,363945122.0,,ABR (score=88 ABN=74013182621),High,
52803266,,1063.79,-36.445112,146.793772,,42.59,CIRCULAR CREEK ROAD STANLEY 3747,52803266,334,,O,N,A,,372597954,2009-11-06,,,4674529,,127534263,P,G,,415880213,2013-10-21,379322201.0,,none,None,
52548944,,999.15,-36.343879,146.746476,,33.53,TWIST CREEK ROAD STANLEY 3747,52548944,334,,O,N,A,,498259604,2015-06-17,202031514.0,65179.0,4142518,,128726397,P,G,,701620330,2022-11-25,584783135.0,65179.0,none,None,
5280918,Barnawartha North Cricket Club,988.44,-36.107705,146.788804,,11.85,419 PLUNKETTS ROAD BARNAWARTHA NORTH 3691,5280918,374,312017,O,N,A,,579078475,2019-08-30,385174886.0,1004.0,637438,,101259357,P,G,,855642076,2024-08-25,816945034.0,1004.0,ABR (score=88 ABN=71019673116),High,
52571810,CHILTERN BAKERY,985.07,-36.117401,146.625462,,26.39,RILEYS ROAD CHILTERN 3683,52571810,334,,O,N,A,,76366495,1999-01-20,,,4179288,,127533519,P,G,,842377875,2024-04-21,820478066.0,,ABR (score=88 ABN=74013182621),High,
124976412,Barnawartha North Cricket Club,969.95,-36.097588,146.731981,,16.56,OATES GAP ROAD BARNAWARTHA NORTH 3691,124976412,374,311271,O,Y,A,2005-07-18,493672970,2015-02-16,489591453.0,51102.0,636735,134178891,131178347,P,G,,816923949,2023-12-11,523864032.0,51102.0,ABR (score=88 ABN=71019673116),High,
124976410,Barnawartha North Cricket Club,969.95,-36.097588,146.731981,,16.56,OATES GAP ROAD BARNAWARTHA NORTH 3691,124976410,374,311270,O,Y,A,2005-07-18,493672969,2015-02-16,489591452.0,51102.0,636735,134178891,131178347,P,G,,816923949,2023-12-11,523864032.0,51102.0,ABR (score=88 ABN=71019673116),High,
5280025,Barnawartha North Cricket Club,969.95,-36.097588,146.731981,,16.56,1243 PLUNKETTS ROAD BARNAWARTHA NORTH 3691,5280025,374,312020,O,Y,A,,493672968,2015-02-16,489591451.0,51102.0,636735,134178891,131178347,P,G,,816923949,2023-12-11,523864032.0,51102.0,ABR (score=88 ABN=71019673116),High,
124976414,Barnawartha North Cricket Club,969.95,-36.097588,146.731981,,16.56,OATES GAP ROAD BARNAWARTHA NORTH 3691,124976414,374,311272,O,Y,A,2005-07-18,493672971,2015-02-16,489591454.0,51102.0,636735,134178891,131178347,P,G,,816923949,2023-12-11,523864032.0,51102.0,ABR (score=88 ABN=71019673116),High,
134178892,Barnawartha North Cricket Club,969.95,-36.097588,146.731981,,16.56,OATES GAP ROAD BARNAWARTHA NORTH 3691,134178892,374,322984,G,N,A,,553072934,2018-06-06,493672972.0,1005.0,134178891,,131178347,B,G,,816923948,2023-12-11,523864031.0,1005.0,ABR (score=88 ABN=71019673116),High,
429007431,Barnawartha North Cricket Club,969.95,-36.097588,146.731981,,16.56,631 COOKINBURRA ROAD BARNAWARTHA NORTH 3691,429007431,374,331625,O,Y,A,2018-10-10,561271353,2018-10-10,,216092.0,636735,134178891,131178347,P,G,,816923949,2023-12-11,523864032.0,216092.0,ABR (score=88 ABN=71019673116),High,
45336297,EL DORADO CONTRACTORS,932.14,-36.306437,146.546398,,41.92,RAMSAY ROAD ELDORADO 3746,45336297,368,NCPR,O,N,A,,485073904,2014-08-14,72598269.0,25294.0,4287776,,128682508,P,G,,415858054,2013-10-21,378145747.0,25294.0,ABR (score=70 ABN=82542143928),Medium,
5223660,The Granya Alternative,883.09,-36.078539,147.345185,,38.89,3234 MURRAY RIVER ROAD GRANYA 3701,5223660,367,215150,O,N,A,,385145186,2013-02-01,362194595.0,,540035,,126802566,P,G,,830450608,2024-02-18,590939380.0,,ABR (score=78 ABN=60491091431),Medium,
129186153,jarvis,861.33,-36.194418,147.162705,,26.13,2381 LAKE ROAD JARVIS CREEK 3700,129186153,367,312000,O,N,A,2008-07-11,590878568,2020-05-19,385208801.0,282510.0,129186152,,129234547,P,G,2008-07-11,591907251,2020-06-11,590878525.0,282510.0,ABR (score=100 ABN=81797048381),High,
45093694,BEECHWORTH INC,827.34,-36.281859,146.62312,,34.87,WARNERS TRACK BEECHWORTH 3747,45093694,334,,O,N,A,,96822183,2000-08-17,,,414646,,128739989,P,G,,415856761,2013-10-21,367997982.0,,ABR (score=93 ABN=33138001347),High,
52548555,,823.86,-36.388501,146.758285,,37.62,PINE ROAD STANLEY 3747,52548555,334,7532,O,N,A,,538758866,2017-09-18,538752000.0,1005.0,4141826,,128726393,P,G,,538758858,2017-09-18,415879513.0,1005.0,none,None,
45226700,TALLANDOON DAIRY,797.86,-36.407494,147.174862,,43.86,ESKDALE SPUR TRACK TALLANDOON 3701,45226700,367,NCPR,O,N,A,,534039990,2017-06-19,96861729.0,154494.0,4128267,,35068528,P,G,,869966656,2025-07-07,703678455.0,154494.0,ABR (score=90 ABN=11947152871),High,
53072749,CORNISHTOWN ACCIDENT REPAIR SPECIALISTS,795.93,-36.120751,146.595841,,29.08,WALLACES GULLY TRACK CORNISHTOWN 3683,53072749,334,9351,O,N,A,,482155127,2014-05-26,116052628.0,14605.0,4794247,,127538587,P,G,,842378052,2024-04-21,414387663.0,14605.0,ABR (score=80 ABN=39112232914),High,
45331917,BRUARONG PTY. LTD.,774.73,-36.391086,146.831586,,35.98,ESCARPMENT ROAD BRUARONG 3749,45331917,334,,O,N,A,,74387969,1997-05-23,,,4500303,,128726591,P,G,,530417845,2017-04-28,415870835.0,,ABR (score=86 ABN=74006043027),High,
45333633,,770.14,-36.343293,146.805914,,31.44,YACK GATE ROAD STANLEY 3747,45333633,334,,O,N,A,,369106340,2008-07-04,,,3836676,,128725629,P,G,,603021928,2021-01-20,584783121.0,,none,None,
45353047,DEDERANG STORE,755.77,-36.490089,146.990548,,46.72,NORTH HOUSE CREEK TRACK DEDERANG 3691,45353047,300,NCPR,O,N,A,,869531181,2025-06-30,94612185.0,471610.0,758512,,128738557,P,G,,415881976,2013-10-21,368524859.0,471610.0,ABR (score=89 ABN=21407043128),High,
45335303,YACKANDANDAH CAFE,687.75,-36.385745,146.917835,,34.63,MADDOCKS TRACK YACKANDANDAH 3749,45335303,334,,O,N,A,,96903772,2000-08-17,,,816639,,128740601,P,G,,843520993,2024-04-30,549049987.0,,ABR (score=93 ABN=12899841127),High,
129471977,The Granya Alternative,665.25,-36.126491,147.34224,,39.05,GRANYA ROAD GRANYA 3701,129471977,367,320077,O,N,A,2008-11-13,370184036,2008-11-13,,,129471976,,129485928,P,G,2008-11-13,415848517,2013-10-21,370225443.0,,ABR (score=82 ABN=60491091431),High,
45352475,,654.59,-36.347752,147.145346,,36.87,WILLIAMS TRACK SANDY CREEK 3695,45352475,334,,O,N,A,,96910355,2000-08-17,,,757753,,127537957,P,G,,869966644,2025-07-07,415863602.0,,none,None,
45093370,WOORAGEE SOAPS,650.8,-36.255972,146.740565,,25.52,RAMROD TRACK WOORAGEE 3747,45093370,334,,O,N,A,,96821677,2000-08-17,,,4138271,,127536945,P,G,,414389079,2013-10-21,363948294.0,,ABR (score=89 ABN=72924492315),High,
45224720,jarvis,646.09,-36.19369,147.221896,,30.79,457 JARVIS CREEK ROAD JARVIS CREEK 3700,45224720,367,304400,O,N,A,,561004411,2018-10-05,358335112.0,1004.0,535132,,101584479,P,G,,561077854,2018-10-08,560715865.0,1004.0,ABR (score=100 ABN=81797048381),High,
45227757,,639.55,-36.128161,147.390829,,43.41,RUGGI FIRELINE BULLIOH 3700,45227757,367,NCPR,O,N,A,,534039954,2017-06-19,96863669.0,154494.0,539062,,128566512,P,G,,665954351,2021-10-14,415842986.0,154494.0,none,None,
45091814,RUTHERGLEN BEEF,631.31,-36.022956,146.578999,,30.66,3210 MURRAY VALLEY HIGHWAY RUTHERGLEN 3685,45091814,334,5909,O,N,A,,355705500,2005-05-02,,,218084,,100269638,P,G,,842376008,2024-04-21,501718708.0,,ABR (score=92 ABN=17607219161),High,
45227321,BULLIOH FOOTBALL AND NETBALL CLUB INC,630.77,-36.218185,147.39805,,46.46,85 COOKS ROAD BULLIOH 3700,45227321,367,307350,O,N,A,,203744983,2003-04-06,,,538493,,125329151,P,G,,415854328,2013-10-21,378715720.0,,ABR (score=77 ABN=32421714664),Medium,
45043765,BEECHWORTH INC,619.92,-36.40549,146.714454,,40.93,SIX MILE ROAD BEECHWORTH 3747,45043765,334,,O,N,A,,96816137,2000-08-17,,,416391,,128740027,P,G,,415871870,2013-10-21,367998058.0,,ABR (score=93 ABN=33138001347),High,
44016504,LILLIPUT CAFE,606.42,-36.152586,146.519242,,36.56,88 BENNETTS ROAD LILLIPUT 3682,44016504,334,5775,O,N,A,,538753663,2017-09-18,375325668.0,165699.0,3255821,,101593665,P,G,,856953213,2024-09-26,538753661.0,165699.0,ABR (score=90 ABN=87633880690),High,
125435903,Barnawartha North Cricket Club,575.4,-36.104096,146.757084,,14.49,285-296 BLACK RANGE ROAD BARNAWARTHA NORTH 3691,125435903,374,,G,N,A,2006-02-08,377510714,2011-03-22,,,125435902,,5857334,B,G,2006-02-08,855642070,2024-08-25,816922255.0,,ABR (score=88 ABN=71019673116),High,
45335211,The Kergunyah Store,562.64,-36.341543,146.949282,,29.89,MEEHAN LANE KERGUNYAH 3691,45335211,334,4308,O,N,A,,202015666,2002-12-19,,,816592,,127536271,P,G,,415864879,2013-10-21,377292230.0,,ABR (score=85 ABN=57639950280),High,
45333613,WOORAGEE SOAPS,530.62,-36.303773,146.804849,,27.34,PLUNKETTS ROAD WOORAGEE 3747,45333613,334,,O,N,A,,364363500,2007-07-20,,,4139828,,128726375,P,G,,842379754,2024-04-21,820478173.0,,ABR (score=89 ABN=72924492315),High,
126311931,BONEGILLA ALPACAS,508.13,-36.188068,146.99217,,14.53,943 MAHERS ROAD BONEGILLA 3691,126311931,374,308909,O,N,A,2006-10-17,576949235,2019-07-19,385176718.0,1004.0,126311930,,135893928,P,G,2006-10-17,874336116,2025-10-08,816944524.0,1004.0,ABR (score=87 ABN=42596175857),High,
45089748,CARLYLE ABEL,506.94,-36.01103,146.522794,,35.89,285 UP RIVER ROAD CARLYLE 3685,45089748,334,5471,O,N,A,,355703606,2005-05-02,,,206903,,100264523,P,G,,842375871,2024-04-21,414385785.0,,ABR (score=89 ABN=66460789497),High,
52528138,DARTMOUTH LODGES,34500.87,-36.602669,147.644654,,88.06,BENAMBRA-CORRYONG ROAD DARTMOUTH 3701,52528138,367,320076,O,N,A,,370184427,2008-11-13,,,4098540,,129486002,P,G,,689340643,2022-09-12,672440545.0,,ABR (score=68 ABN=14406470637),Medium,
124174685,,18991.43,-36.085349,147.744842,,74.89,MURRAY RIVER ROAD PINE MOUNTAIN 3709,124174685,367,320071,O,N,A,2005-02-11,536225460,2017-07-31,372210901.0,159681.0,124174684,,131928023,P,G,2005-02-11,830450637,2024-02-18,673363842.0,159681.0,none,None,
52546480,,16898.86,-36.155532,147.568389,,59.66,43 AVONDALE ROAD SHELLEY 3701,52546480,367,213400,O,N,A,,864877878,2025-04-03,595432371.0,463675.0,4138337,,128022357,P,G,,864877876,2025-04-03,830450664.0,463675.0,none,None,
45458988,Alp Falls Creek,16642.01,-36.865229,147.358961,,96.48,KELLY TRACK FALLS CREEK 3699,45458988,300,,O,N,A,,369676121,2008-09-12,,,4247648,,127627796,P,G,,678643377,2022-05-26,671108054.0,,ABR (score=94 ABN=46004843761),High,
45376092,DANDONGADALE PASTORAL CO. PTY. LTD.,12139.12,-36.847762,146.750642,,87.13,YARRARABULA CREEK TRACK DANDONGADALE 3737,45376092,300,NCPR,O,N,A,,869530921,2025-06-30,73916322.0,471610.0,4104244,,128726059,P,G,,585488156,2020-01-21,583448414.0,471610.0,ABR (score=93 ABN=68007213461),High,
45226697,MITTA MITTA LPO,11511.1,-36.622285,147.258033,,68.28,DORCHAP RANGE TRACK MITTA MITTA 3701,45226697,367,NCPR,O,N,A,,534039480,2017-06-19,73626820.0,154494.0,4096313,,127553612,P,G,,415888080,2013-10-21,367692560.0,154494.0,ABR (score=88 ABN=62925984619),High,
45372309,MOUNT BUFFALO CHALET,10445.54,-36.719467,146.819836,,72.15,MOUNT BUFFALO ROAD MOUNT BUFFALO 3740,45372309,300,NCPR,O,N,A,,498579181,2015-06-26,483676027.0,1004.0,3875906,,128725699,P,G,,678796831,2022-05-30,578356319.0,1004.0,ABR (score=91 ABN=95006266762),High,
123997975,DARTMOUTH LODGES,10433.76,-36.61823,147.607679,,86.8,DARTMOUTH ROAD DARTMOUTH 3701,123997975,367,320075,O,N,A,2004-11-09,510864121,2016-04-13,382663194.0,100961.0,123997974,,129485812,P,G,2004-11-09,672440546,2022-02-16,672404887.0,100961.0,ABR (score=68 ABN=14406470637),Medium,
52960956,TAWONGA MOTORS,9790.1,-36.741407,147.273216,,80.81,MOUNTAIN CREEK ROAD TAWONGA 3697,52960956,300,NCPR,O,N,A,,387591068,2013-09-06,387591037.0,,4668718,,136411315,P,G,,671108030,2022-01-24,585857433.0,,ABR (score=86 ABN=30541798273),High,
45372382,BUCKLAND & CO,9742.83,-36.890897,146.955201,,90.76,CLEAR CREEK TRACK BUCKLAND 3740,45372382,300,NCPR,O,N,A,,869531042,2025-06-30,76292402.0,471610.0,4132946,,128729363,P,G,,825042743,2024-01-28,582511582.0,471610.0,ABR (score=93 ABN=55465351720),High,
45453868,Harrietville Cabins,9728.28,-36.920032,147.109556,,95.54,GREAT ALPINE ROAD HARRIETVILLE 3741,45453868,300,NCPR,O,Y,A,,387678341,2013-10-01,385871661.0,,4116838,136421051,126820749,P,G,,822004171,2024-01-19,671108072.0,,ABR (score=90 ABN=68881687302),High,
136417803,Harrietville Cabins,9728.28,-36.920032,147.109556,,95.54,FEATHERTOP TRACK HARRIETVILLE 3741,136417803,300,10519,O,Y,A,2013-10-01,387678346,2013-10-01,,,4116838,136421051,126820749,P,G,,822004171,2024-01-19,671108072.0,,ABR (score=90 ABN=68881687302),High,
136417801,Harrietville Cabins,9728.28,-36.920032,147.109556,,95.54,FEATHERTOP TRACK HARRIETVILLE 3741,136417801,300,10516,O,Y,A,2013-10-01,387678342,2013-10-01,,,4116838,136421051,126820749,P,G,,822004171,2024-01-19,671108072.0,,ABR (score=90 ABN=68881687302),High,
136421052,Harrietville Cabins,9728.28,-36.920032,147.109556,,95.54,FEATHERTOP TRACK HARRIETVILLE 3741,136421052,300,,G,N,A,,387691811,2013-10-04,,,136421051,,126820749,B,G,,822004170,2024-01-19,671108071.0,,ABR (score=90 ABN=68881687302),High,
429759026,DARTMOUTH LODGES,9039.22,-36.493638,147.517671,,71.54,CALLAGHAN CREEK TRACK DARTMOUTH 3701,429759026,367,NCPR,O,N,A,2019-03-13,569639719,2019-03-13,,233858.0,429759025,,429759024,P,G,2019-03-13,689340642,2022-09-12,672440543.0,233858.0,ABR (score=68 ABN=14406470637),Medium,
420725849,CARBOOR FARMS PTY. LTD.,8356.87,-36.662851,146.629248,,70.18,BUFFALO RIVER ROAD CARBOOR 3678,420725849,300,8223,O,N,A,2014-08-12,500686590,2015-08-18,485997188.0,73378.0,420725848,,420725847,P,G,2014-08-12,698674913,2022-11-16,693122548.0,73378.0,ABR (score=90 ABN=64609934189),High,
45453907,MITTA MITTA LPO,8302.15,-36.763075,147.428771,,89.37,SNOWY LOG ROAD MITTA MITTA 3701,45453907,319,NCPR,O,N,A,,569639432,2019-03-13,528842888.0,233858.0,4116857,,127553884,P,G,,872764234,2025-09-09,867420637.0,233858.0,ABR (score=88 ABN=62925984619),High,
45227991,ESKDALE FARM,8207.42,-36.527297,147.274716,,59.88,DORCHAP RANGE TRACK ESKDALE 3701,45227991,367,NCPR,O,N,A,,534040043,2017-06-19,96863963.0,154494.0,539487,,128566544,P,G,,415883982,2013-10-21,378717149.0,154494.0,ABR (score=99 ABN=97847328015),High,
45373320,Alp Falls Creek,7803.41,-36.896909,147.223832,,95.49,FAINTER FIRETRAIL FALLS CREEK 3699,45373320,300,NCPR,O,N,A,,869531402,2025-06-30,682387862.0,471610.0,4537038,,128726609,P,G,,856071529,2024-09-04,856055695.0,471610.0,ABR (score=94 ABN=46004843761),High,
45372401,GERMANTOWN LODGE,7440.04,-36.790374,147.091304,,81.11,BRIGHT ROAD GERMANTOWN 3741,45372401,300,7556,O,N,A,,686075351,2022-08-18,96912188.0,368443.0,4116843,,128741331,P,G,,671108065,2022-01-24,582837419.0,368443.0,ABR (score=70 ABN=54526594346),Medium,
53045933,EDI UPPER PRIMARY SCHOOL,6757.02,-36.79053,146.560867,,85.6,BLACK RANGE TRACK EDI UPPER 3678,53045933,368,NCPR,O,N,A,,485073894,2014-08-14,115100561.0,25294.0,4766643,,128709182,P,G,,698674917,2022-11-16,574065234.0,25294.0,ABR (score=82 ABN=64055099250),High,
45353053,UPPER GUNDOWRING RECREATION ROOMS INC. A 8466,6732.54,-36.578833,147.152714,,60.03,LARKIN LANE UPPER GUNDOWRING 3691,45353053,300,NCPR,O,N,A,,869531532,2025-06-30,73624425.0,471610.0,4096306,,128725953,P,G,,415885972,2013-10-21,379398978.0,471610.0,ABR (score=86 ABN=15548702894),High,
45390865,TATONG HERBS,6703.87,-36.771596,146.252795,,97.51,MIDDLE CREEK TRACK TATONG 3673,45390865,368,NCPR,O,N,A,,485072120,2014-08-14,74213836.0,23898.0,4114285,,127647768,P,G,,688630279,2022-08-31,415904788.0,23898.0,ABR (score=86 ABN=21325033819),High,
45370280,,6608.44,-36.683837,147.073001,,69.2,TAWONGA GAP ROAD BRIGHT 3741,45370280,300,NCPR,O,N,A,,869531439,2025-06-30,96911699.0,471610.0,3879954,,128741291,P,G,,847061165,2024-05-19,834000811.0,471610.0,none,None,
45379686,NUG NUG RANCH,6370.97,-36.672612,146.739246,,68.27,JURISICHS ROAD NUG NUG 3737,45379686,300,10524,O,N,A,,483676038,2014-07-11,387590551.0,1004.0,840095,,128742583,P,G,,568988685,2019-02-27,568438535.0,1004.0,ABR (score=80 ABN=35713020853),High,
